Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Alavés,32,38,34,307,98,31.9,8.08,2.58,0.09,0.29,6,6
Athletic Club,26,38,40,401,126,31.4,10.55,3.32,0.08,0.25,8,10
Atlético Madrid,30,38,50,440,136,30.9,11.58,3.58,0.1,0.32,6,8
Barcelona,28,38,84,488,213,43.6,12.84,5.61,0.16,0.37,6,6
Celta Vigo,30,38,37,359,131,36.5,9.45,3.45,0.09,0.24,6,9
Eibar,26,38,38,419,132,31.5,11.03,3.47,0.07,0.23,7,10
Espanyol,31,38,25,407,120,29.5,10.71,3.16,0.05,0.18,4,4
Getafe,30,38,42,408,121,29.7,10.74,3.18,0.09,0.3,6,7
Granada,27,38,50,389,118,30.3,10.24,3.11,0.12,0.38,5,5
Leganés,29,38,30,427,143,33.5,11.24,3.76,0.06,0.19,3,5
Levante,29,38,45,422,133,31.5,11.11,3.5,0.09,0.3,5,5
Mallorca,32,38,39,410,118,28.8,10.79,3.11,0.08,0.26,8,10
Osasuna,31,38,46,455,142,31.2,11.97,3.74,0.08,0.27,8,8
Real Betis,27,38,48,471,152,32.3,12.39,4,0.09,0.28,6,8
Real Madrid,26,38,69,552,222,40.2,14.53,5.84,0.11,0.26,11,11
Real Sociedad,27,38,54,424,139,32.8,11.16,3.66,0.12,0.36,4,5
Sevilla,26,38,53,484,164,33.9,12.74,4.32,0.1,0.28,7,7
Valencia,28,38,45,331,111,33.5,8.71,2.92,0.12,0.36,5,8
Valladolid,30,38,31,369,116,31.4,9.71,3.05,0.08,0.24,3,6
Villarreal,25,38,62,483,160,33.1,12.71,4.21,0.11,0.33,10,11
