Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Alavés,30,38,35,339,95,28,8.92,2.5,0.09,0.32,5,8
Athletic Club,27,38,43,399,128,32.1,10.5,3.37,0.1,0.3,4,5
Atlético Madrid,25,38,65,452,178,39.4,11.89,4.68,0.13,0.34,5,7
Barcelona,25,38,80,575,231,40.2,15.13,6.08,0.13,0.33,4,8
Cádiz,34,38,33,299,97,32.4,7.87,2.55,0.1,0.3,4,4
Celta Vigo,30,38,55,350,133,38,9.21,3.5,0.14,0.36,7,7
Eibar,30,38,29,443,127,28.7,11.66,3.34,0.06,0.2,4,9
Elche,30,38,33,265,86,32.5,6.97,2.26,0.12,0.36,2,3
Getafe,31,38,27,355,97,27.3,9.34,2.55,0.07,0.25,3,5
Granada,34,38,47,354,121,34.2,9.32,3.18,0.12,0.36,3,5
Huesca,27,38,32,404,130,32.2,10.63,3.42,0.07,0.22,3,4
Levante,29,38,45,376,125,33.2,9.89,3.29,0.11,0.34,3,6
Osasuna,28,38,36,368,114,31,9.68,3,0.08,0.27,5,6
Real Betis,25,38,50,433,145,33.5,11.39,3.82,0.1,0.29,8,11
Real Madrid,30,38,64,544,167,30.7,14.32,4.39,0.11,0.37,3,3
Real Sociedad,30,38,58,417,139,33.3,10.97,3.66,0.12,0.35,9,12
Sevilla,26,38,52,454,135,29.7,11.95,3.55,0.1,0.34,6,7
Valencia,30,38,48,383,129,33.7,10.08,3.39,0.1,0.31,8,10
Valladolid,32,38,34,359,110,30.6,9.45,2.89,0.08,0.25,7,8
Villarreal,29,38,57,392,146,37.2,10.32,3.84,0.11,0.31,12,13
