Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Almería,29,38,49,439,155,35.3,11.55,4.08,0.11,0.3,2,3
Athletic Club,26,38,46,541,157,29,14.24,4.13,0.08,0.26,5,7
Atlético Madrid,27,38,68,538,195,36.2,14.16,5.13,0.12,0.34,1,1
Barcelona,29,38,69,570,187,32.8,15,4.92,0.12,0.37,0,2
Cádiz,38,38,29,390,108,27.7,10.26,2.84,0.06,0.23,4,5
Celta Vigo,26,38,41,470,160,34,12.37,4.21,0.08,0.24,2,3
Elche,32,38,30,400,124,31,10.53,3.26,0.07,0.21,4,5
Espanyol,33,38,51,417,151,36.2,10.97,3.97,0.11,0.3,5,5
Getafe,25,38,34,365,116,31.8,9.61,3.05,0.08,0.25,5,8
Girona,29,38,55,446,160,35.9,11.74,4.21,0.11,0.29,8,9
Mallorca,31,38,36,324,107,33,8.53,2.82,0.1,0.3,4,5
Osasuna,26,38,36,441,133,30.2,11.61,3.5,0.07,0.24,4,5
Rayo Vallecano,28,38,41,510,146,28.6,13.42,3.84,0.07,0.25,4,8
Real Betis,30,38,43,411,138,33.6,10.82,3.63,0.09,0.25,8,9
Real Madrid,26,38,73,634,206,32.5,16.68,5.42,0.1,0.31,9,12
Real Sociedad,30,38,47,465,173,37.2,12.24,4.55,0.1,0.26,2,4
Sevilla,35,38,47,463,141,30.5,12.18,3.71,0.09,0.3,4,5
Valencia,28,38,40,480,140,29.2,12.63,3.68,0.07,0.25,5,8
Valladolid,36,38,32,443,137,30.9,11.66,3.61,0.07,0.21,3,4
Villarreal,32,38,57,499,188,37.7,13.13,4.95,0.11,0.28,4,7
