Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Alavés,30,38,40,389,134,34.4,10.24,3.53,0.1,0.29,1,3
Athletic Club,26,38,39,421,142,33.7,11.08,3.74,0.08,0.23,6,8
Atlético Madrid,26,38,57,401,147,36.7,10.55,3.87,0.13,0.36,4,5
Barcelona,25,38,96,575,264,45.9,15.13,6.95,0.16,0.35,3,5
Celta Vigo,23,38,57,444,157,35.4,11.68,4.13,0.12,0.35,2,3
Dep La Coruña,32,38,38,462,133,28.8,12.16,3.5,0.08,0.26,3,5
Eibar,27,38,43,467,131,28.1,12.29,3.45,0.09,0.31,2,3
Espanyol,25,38,33,410,128,31.2,10.79,3.37,0.08,0.24,2,3
Getafe,32,38,41,361,122,33.8,9.5,3.21,0.1,0.3,5,12
Girona,25,38,50,447,149,33.3,11.76,3.92,0.1,0.3,6,8
Las Palmas,36,38,24,405,119,29.4,10.66,3.13,0.04,0.15,6,8
Leganés,28,38,32,393,125,31.8,10.34,3.29,0.08,0.24,2,3
Levante,33,38,43,405,119,29.4,10.66,3.13,0.09,0.32,5,5
Málaga,37,38,23,397,108,27.2,10.45,2.84,0.05,0.18,4,6
Real Betis,29,38,56,415,160,38.6,10.92,4.21,0.13,0.34,2,3
Real Madrid,24,38,91,689,267,38.8,18.13,7.03,0.12,0.31,8,10
Real Sociedad,27,38,64,516,165,32,13.58,4.34,0.12,0.36,4,5
Sevilla,31,38,48,511,174,34.1,13.45,4.58,0.09,0.25,4,5
Valencia,25,38,63,473,175,37,12.45,4.61,0.12,0.31,8,8
Villarreal,32,38,56,470,162,34.5,12.37,4.26,0.11,0.32,4,5
