Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Alavés,30,38,33,458,136,29.7,12.05,3.58,0.07,0.22,3,7
Almería,35,38,42,478,163,34.1,12.58,4.29,0.08,0.25,2,2
Athletic Club,27,38,59,458,163,35.6,12.05,4.29,0.12,0.34,3,5
Atlético Madrid,27,38,68,475,197,41.5,12.5,5.18,0.13,0.32,5,6
Barcelona,29,38,76,588,219,37.2,15.47,5.76,0.12,0.32,6,7
Cádiz,34,38,25,395,120,30.4,10.39,3.16,0.06,0.18,3,3
Celta Vigo,31,38,45,467,151,32.3,12.29,3.97,0.09,0.28,3,5
Getafe,33,38,42,446,150,33.6,11.74,3.95,0.08,0.24,6,7
Girona,25,38,84,476,178,37.4,12.53,4.68,0.16,0.43,7,8
Granada,40,38,35,394,123,31.2,10.37,3.24,0.08,0.24,5,8
Las Palmas,29,38,33,386,120,31.1,10.16,3.16,0.08,0.25,3,5
Mallorca,25,38,33,415,131,31.6,10.92,3.45,0.08,0.24,1,3
Osasuna,29,38,45,421,124,29.5,11.08,3.26,0.1,0.33,4,5
Rayo Vallecano,26,38,29,487,160,32.9,12.82,4.21,0.05,0.14,6,6
Real Betis,35,38,46,489,150,30.7,12.87,3.95,0.09,0.29,2,3
Real Madrid,27,38,85,593,242,40.8,15.61,6.37,0.14,0.34,2,5
Real Sociedad,31,38,48,457,147,32.2,12.03,3.87,0.1,0.3,4,4
Sevilla,35,38,46,487,160,32.9,12.82,4.21,0.09,0.28,2,2
Valencia,29,38,39,368,123,33.4,9.68,3.24,0.08,0.25,8,9
Villarreal,32,38,64,462,163,35.3,12.16,4.29,0.13,0.36,5,7
,,,,,,,,,,,,
,,,,,,,,,,,,
