Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Alavés,29,38,38,393,123,31.3,10.34,3.24,0.07,0.24,9,11
Athletic Club,31,38,53,462,148,32,12.16,3.89,0.11,0.34,3,6
Atlético Madrid,24,38,68,463,174,37.6,12.18,4.58,0.13,0.36,6,7
Barcelona,28,38,99,670,240,35.8,17.63,6.32,0.14,0.38,7,8
Celta Vigo,30,38,58,442,167,37.8,11.63,4.39,0.11,0.3,8,9
Espanyol,27,38,38,351,98,27.9,9.24,2.58,0.09,0.34,5,5
Getafe,30,38,34,430,122,28.4,11.32,3.21,0.07,0.24,5,5
Girona,30,38,43,397,134,33.8,10.45,3.53,0.1,0.29,4,5
Las Palmas,34,38,38,409,134,32.8,10.76,3.53,0.09,0.26,3,4
Leganés,26,38,38,345,110,31.9,9.08,2.89,0.1,0.3,5,7
Mallorca,28,38,34,382,107,28,10.05,2.82,0.08,0.28,4,5
Osasuna,25,38,46,409,123,30.1,10.76,3.24,0.09,0.3,9,9
Rayo Vallecano,26,38,38,514,162,31.5,13.53,4.26,0.07,0.23,0,1
Real Betis,36,38,55,518,176,34,13.63,4.63,0.09,0.27,7,10
Real Madrid,30,38,78,621,229,36.9,16.34,6.03,0.11,0.3,10,14
Real Sociedad,31,38,34,387,123,31.8,10.18,3.24,0.08,0.24,4,4
Sevilla,35,38,39,472,148,31.4,12.42,3.89,0.08,0.25,2,3
Valencia,32,38,43,383,116,30.3,10.08,3.05,0.1,0.33,5,5
Valladolid,38,38,26,331,97,29.3,8.71,2.55,0.06,0.22,5,5
Villarreal,31,38,69,530,171,32.3,13.95,4.5,0.12,0.37,5,7
