Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Alavés,26,38,39,426,116,27.2,11.21,3.05,0.09,0.32,2,3
Athletic Club,27,38,39,380,132,34.7,10,3.47,0.09,0.26,5,7
Atlético Madrid,29,38,53,440,155,35.2,11.58,4.08,0.11,0.32,3,4
Barcelona,30,38,88,551,242,43.9,14.5,6.37,0.15,0.33,8,9
Celta Vigo,28,38,52,445,152,34.2,11.71,4,0.1,0.3,7,7
Eibar,25,38,46,524,147,28.1,13.79,3.87,0.07,0.27,7,8
Espanyol,25,38,43,470,154,32.8,12.37,4.05,0.08,0.25,4,4
Getafe,26,38,47,395,122,30.9,10.39,3.21,0.1,0.34,6,6
Girona,26,38,37,392,137,34.9,10.32,3.61,0.08,0.23,6,6
Huesca,30,38,43,463,139,30,12.18,3.66,0.08,0.27,6,7
Leganés,29,38,36,414,128,30.9,10.89,3.37,0.08,0.26,3,5
Levante,26,38,56,435,154,35.4,11.45,4.05,0.12,0.33,5,7
Rayo Vallecano,29,38,40,453,144,31.8,11.92,3.79,0.08,0.24,5,5
Real Betis,25,38,43,436,156,35.8,11.47,4.11,0.09,0.24,5,7
Real Madrid,27,38,61,585,203,34.7,15.39,5.34,0.09,0.26,9,9
Real Sociedad,30,38,44,418,133,31.8,11,3.5,0.09,0.27,8,10
Sevilla,27,38,60,524,167,31.9,13.79,4.39,0.1,0.33,5,6
Valencia,25,38,50,470,157,33.4,12.37,4.13,0.1,0.29,5,7
Valladolid,28,38,31,406,125,30.8,10.68,3.29,0.07,0.22,4,7
Villarreal,26,38,47,488,169,34.6,12.84,4.45,0.09,0.26,3,6
