Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,"3,420",38,50,1.32,172,122,75,15,2,21,12,31.6,10,7,2,1,22.2
Athletic Club,2,38,38,"3,420",38,49,1.29,166,117,72.3,10,13,15,11,28.9,6,3,3,0,50
Atlético Madrid,2,38,38,"3,420",38,22,0.58,129,105,83.7,23,10,5,23,60.5,4,1,3,0,75
Barcelona,2,38,38,"3,420",38,29,0.76,133,104,79.7,28,9,1,19,50,2,2,0,0,0
Celta Vigo,3,38,38,"3,416",38,60,1.58,161,102,65.2,13,10,15,7,18.4,5,4,0,1,0
Dep La Coruña,5,38,38,"3,415",38,76,2,179,105,59.8,6,11,21,6,15.8,5,4,1,0,20
Eibar,3,38,38,"3,420",38,50,1.32,134,87,65.7,14,9,15,11,28.9,4,4,0,0,0
Espanyol,2,38,38,"3,420",38,42,1.11,164,122,76.8,12,13,13,12,31.6,6,4,2,0,33.3
Getafe,2,38,38,"3,420",38,33,0.87,130,96,76.2,15,10,13,14,36.8,4,2,1,1,33.3
Girona,2,38,38,"3,420",38,59,1.55,175,119,68.6,14,9,15,11,28.9,5,4,0,1,0
Las Palmas,2,38,38,"3,420",38,74,1.95,215,142,67.9,5,7,26,5,13.2,5,5,0,0,0
Leganés,3,38,38,"3,420",38,51,1.34,156,104,71.2,12,7,19,14,36.8,7,6,1,0,14.3
Levante,3,38,38,"3,420",38,58,1.53,183,127,71,11,13,14,10,26.3,6,5,0,1,0
Málaga,2,38,38,"3,420",38,61,1.61,170,108,67.6,5,5,28,6,15.8,7,6,1,0,14.3
Real Betis,3,38,38,"3,420",38,61,1.61,156,98,62.8,18,6,14,13,34.2,4,3,1,0,25
Real Madrid,3,38,38,"3,420",38,44,1.16,144,100,70.8,22,10,6,10,26.3,4,2,2,0,50
Real Sociedad,3,38,38,"3,420",38,59,1.55,149,90,64.4,14,7,17,10,26.3,8,6,2,0,25
Sevilla,2,38,38,"3,420",38,58,1.53,150,92,64.7,17,7,14,14,36.8,8,5,1,2,16.7
Valencia,2,38,38,"3,420",38,38,1,164,124,78.7,22,7,9,12,31.6,5,3,2,0,40
Villarreal,3,38,38,"3,420",38,50,1.32,157,104,71.3,18,7,13,11,28.9,8,5,3,0,37.5
